,01 - Sanfo (2021),02 - Garrouste (2011),03 - Lee et Rudolf (2022),04 - Salah et Saxena (2025),"05 - Sanfo et al., (2024)","06 - Kuecken et al., (2013)",07 - Frölich et Michaelowa (2011),08 - Zuze et Leibbrandt (2010),"09 - Fehrler et al., (2009)","10 - Kadio et al., (2022)","11 - Kazima et al., (2022)",12 - Hanchane et Kadio (2022),13 - Valente (2019),14 - Atuhurra (2016),15 - Taylor et Spaull (2015),16 - Kazima (2014),17 - Mioko et Cappelle (2015),18 - Spaull et Taylor (2015),19 - Murimba (2005),20 - Dolata (2008),21 - Sandefur (2017),22 - Dieng et Sy (2020),23 - Mafang et al. (2022),24 - Spaul (2011),25 - Yu et Thomas (2008),26 - Bennell (2023),"27 - Paviot et al., (2008)",28 - Hungi et Thuku (2009),29 - Taniguchi (2022),30 - Smith et Barrett (2010),31 - Crouch et al. (2021),"32 - Mulera et al., (2017)",33 - Kouakou et Yeo (2025),"34 - Armand et al., (2024)",35 - Sanfo (2023),36 - Mugendawala et Muijs (2020),37 - Oduol (2006),"38 - Lee et al., (2005)","39 - Kanyongo, et al., (2006)",40 - Nguemkap et Dieng (2022),41 - Medu et Rowlands (2022),"42 - Lee et al., (2021)",43 - Lassibille et Tan (2003),44 - Nguemkap (2023),45 - Kadio (2025),"46 - Ongo et al., (2022)",47 - Kadio (2022),48 - Bekkouche et Dupraz (2023),49 - Michelowa (2001),50 - Taniguchi (2024),"51 - Miningou et al., (2019)","52 - Avom et al., (2021)",53 - Figueiredo et Dieng (2016),54 - Kouamo (2024),"55 - Ishii et Ogawa, (2024)",56 - Servaas van der Berg (2008),57 - Wamala et Seruwagi (2012),"58 - Lee et al., (2018)",59 - Venkat et Spaull (2015),60 - Armstrong (2015),"61 - Conto et al., (2023)",62 - Sanfo (2020),63 - Foueka et Elomo (2022),64 - Kanyongo et Brown (2013),"65 - Bietenbeck et al., (2023)",66 - Bonnet (2009),"67 - Lauchande et al., (2017)",68 - Nafiou (2010),69 - Chudgar (2015),"70 - Dickerson et al., (2015)",71 - Kyei (2021),72 - Miningou (2022),73 - Zuze et Reddy (2014),74 - Barnett (2013),75 - Hossain et Bertta (2025),76 - Zhang (2006),77 - Sumida et Kawata (2021),78 - Burger (2011),79 - Foueka (2020),80 - Kanyongo et Ayieko (2017),81 - Spaull (2013),"82 - Rew et al., (2022)"
01 - Sanfo (2021),100.0,34.8,24.92,31.26,26.07,15.31,15.14,27.41,23.05,26.91,14.84,19.66,13.28,18.56,14.76,14.04,13.92,12.57,13.79,15.36,13.08,24.71,15.35,15.32,15.1,13.13,13.44,25.97,17.41,25.58,13.65,25.35,14.7,15.67,15.56,19.13,20.05,22.91,17.65,25.82,13.84,14.19,13.31,13.5,18.19,25.8,25.97,13.82,25.85,20.07,4.77,3.92,2.13,3.43,4.34,14.15,6.89,4.3,4.53,8.92,7.32,24.39,16.4,6.32,5.81,4.58,8.02,3.66,4.05,4.51,5.17,4.45,15.03,15.92,4.36,3.96,3.17,2.84,5.42,3.81,3.51,2.24
02 - Garrouste (2011),34.8,100.0,24.57,31.09,26.31,13.94,13.97,24.47,22.41,22.98,15.92,18.83,13.86,19.29,14.46,15.72,14.39,13.56,13.46,15.65,13.87,21.74,14.89,16.07,14.8,13.06,14.15,22.63,17.81,22.89,13.35,22.47,13.83,15.36,13.73,14.6,20.99,25.26,17.8,25.39,16.47,14.04,14.3,15.98,16.78,24.6,23.05,14.73,21.22,21.62,4.08,2.21,3.25,3.05,3.42,12.61,6.82,3.93,4.64,10.44,5.93,11.68,12.23,10.53,4.81,3.8,7.77,2.63,4.49,3.98,4.62,4.97,10.92,10.27,2.87,2.21,2.55,3.18,4.79,3.93,3.04,2.22
03 - Lee et Rudolf (2022),24.92,24.57,100.0,27.83,28.56,15.91,16.13,13.72,16.15,15.85,12.83,12.86,12.61,12.95,18.79,13.79,15.23,16.96,16.36,15.05,18.08,15.94,12.88,13.4,20.09,15.99,15.53,13.28,18.15,15.24,16.73,12.71,15.28,12.56,16.35,12.84,14.32,19.36,13.22,12.98,13.71,18.67,12.5,17.6,17.01,17.63,16.69,12.51,16.37,16.06,4.96,5.41,5.78,6.01,3.37,2.42,2.3,10.73,2.0,6.05,7.18,2.48,4.76,3.01,6.43,7.35,2.33,1.5,5.5,5.12,5.76,5.24,2.31,2.49,7.45,6.28,4.18,0.94,5.31,2.18,1.71,4.25
04 - Salah et Saxena (2025),31.26,31.09,27.83,100.0,30.88,18.59,18.19,19.51,22.17,22.05,15.07,17.33,14.56,20.68,20.42,14.67,18.32,16.34,16.44,19.07,16.61,20.07,15.21,19.81,20.09,18.49,17.53,19.76,26.93,21.74,16.76,18.47,19.68,14.6,17.11,15.05,17.95,22.64,22.31,19.93,15.04,18.48,12.86,17.7,23.34,22.67,26.11,13.61,20.74,27.41,8.42,9.28,5.48,8.64,7.63,7.86,9.86,7.05,3.92,9.58,14.65,7.6,11.87,4.8,7.95,6.41,6.41,3.46,8.93,7.93,13.59,10.85,7.99,7.55,12.38,7.31,7.87,2.87,12.89,5.28,2.8,8.0
"05 - Sanfo et al., (2024)",26.07,26.31,28.56,30.88,100.0,16.76,17.88,14.38,17.54,17.25,13.2,14.91,13.55,14.09,16.86,13.93,16.52,15.7,16.44,16.78,18.64,18.3,16.26,18.34,22.74,17.56,17.13,14.51,19.56,19.55,18.41,13.8,16.87,13.58,19.37,14.72,15.53,20.5,17.12,15.1,14.42,18.4,13.15,19.5,17.79,19.52,18.21,14.68,17.44,17.31,7.18,5.33,5.69,8.72,5.7,2.28,5.73,6.81,1.91,6.06,9.7,3.24,5.97,2.12,6.94,6.63,2.25,1.62,8.67,7.22,7.65,6.27,3.28,2.61,10.76,8.85,7.09,3.0,11.09,2.4,3.23,7.44
"06 - Kuecken et al., (2013)",15.31,13.94,15.91,18.59,16.76,100.0,34.42,26.76,31.1,16.02,12.51,14.49,13.22,13.33,18.26,12.52,18.12,19.3,16.34,17.59,15.14,15.93,12.77,16.75,17.88,15.74,16.19,13.5,17.49,17.41,15.59,13.75,15.56,15.36,15.57,13.04,13.74,15.87,13.77,13.45,12.99,15.68,14.63,15.91,16.08,16.0,18.53,13.07,18.38,17.07,6.22,4.86,5.21,5.53,3.58,2.7,2.06,7.86,3.59,5.77,5.28,2.74,5.86,4.19,4.84,6.29,2.4,2.75,6.38,8.86,5.43,6.53,2.22,1.97,7.25,5.77,6.37,2.43,6.13,4.91,4.86,5.27
07 - Frölich et Michaelowa (2011),15.14,13.97,16.13,18.19,17.88,34.42,100.0,27.53,29.97,18.64,13.72,14.51,13.8,13.37,17.07,13.23,15.26,16.83,15.32,16.85,16.0,15.77,13.89,15.51,16.93,15.94,15.79,13.53,19.04,16.74,16.89,13.25,16.68,22.66,17.24,12.75,14.05,16.29,14.4,12.52,13.66,16.37,13.12,17.86,17.83,15.98,17.07,14.06,18.27,16.97,5.25,6.24,4.85,5.79,3.91,2.44,2.44,5.22,3.08,6.84,6.41,3.41,6.11,4.03,5.31,6.81,3.92,2.31,8.16,6.9,5.61,6.41,2.85,2.54,5.86,6.92,5.4,1.87,6.1,2.58,3.07,5.0
08 - Zuze et Leibbrandt (2010),27.41,24.47,13.72,19.51,14.38,26.76,27.53,100.0,33.82,25.35,14.41,18.54,13.55,18.38,17.76,15.37,13.34,15.06,13.34,14.88,13.64,23.87,15.29,14.4,15.56,12.9,13.1,26.22,17.07,25.91,13.83,26.25,14.25,16.44,13.44,18.53,18.35,22.8,16.16,24.09,13.93,15.28,13.21,13.97,16.23,24.45,26.37,13.93,22.6,20.55,4.54,3.55,2.4,2.38,4.18,17.02,12.17,3.0,3.08,7.64,5.07,15.46,14.61,4.49,4.74,3.57,7.62,3.47,5.05,5.58,4.22,4.56,13.88,14.14,4.14,4.21,4.39,3.88,4.52,4.15,3.52,3.4
"09 - Fehrler et al., (2009)",23.05,22.41,16.15,22.17,17.54,31.1,29.97,33.82,100.0,24.14,15.26,18.57,16.49,17.75,16.82,15.41,16.89,16.7,16.3,17.57,16.77,21.58,12.96,15.03,18.03,17.39,16.44,18.86,21.61,22.9,16.31,20.22,22.07,16.81,16.05,14.35,18.37,24.56,17.37,19.84,13.9,17.57,12.83,16.26,19.82,23.68,24.35,14.24,22.53,22.3,7.83,6.75,6.02,8.21,3.07,9.76,5.39,7.37,3.92,10.84,8.45,11.12,13.62,5.77,8.24,7.39,6.77,3.02,7.38,7.51,6.7,8.23,9.08,8.18,6.62,6.41,5.92,2.65,7.59,3.34,2.79,5.01
"10 - Kadio et al., (2022)",26.91,22.98,15.85,22.05,17.25,16.02,18.64,25.35,24.14,100.0,25.41,35.54,25.03,29.49,27.86,26.72,17.11,15.55,16.33,18.38,16.66,28.65,14.09,13.58,18.37,16.61,16.55,24.67,21.04,28.93,17.81,24.63,16.52,15.63,18.2,15.14,18.45,25.57,16.29,24.88,13.48,16.2,15.12,19.46,20.83,28.74,35.18,14.4,26.22,22.19,7.38,6.34,6.99,5.29,4.14,15.51,5.75,5.83,2.96,10.13,7.98,14.69,17.86,2.82,7.12,6.52,7.36,2.54,7.64,6.95,7.36,6.86,15.28,13.37,6.98,6.69,5.89,2.45,7.62,3.46,2.98,6.35
