,01 - Sanfo (2021),02 - Garrouste (2011),03 - Lee et Rudolf (2022),04 - Salah et Saxena (2025),"05 - Sanfo et al., (2024)","06 - Kuecken et al., (2013)",07 - Frölich et Michaelowa (2011),08 - Zuze et Leibbrandt (2010),"09 - Fehrler et al., (2009)","10 - Kadio et al., (2022)","11 - Kazima et al., (2022)",12 - Hanchane et Kadio (2022),13 - Valente (2019),14 - Atuhurra (2016),15 - Taylor et Spaull (2015),16 - Kazima (2014),17 - Mioko et Cappelle (2015),18 - Spaull et Taylor (2015),19 - Murimba (2005),20 - Dolata (2008),21 - Sandefur (2017),22 - Dieng et Sy (2020),23 - Mafang et al. (2022),24 - Spaul (2011),25 - Yu et Thomas (2008),26 - Bennell (2023),"27 - Paviot et al., (2008)",28 - Hungi et Thuku (2009),29 - Taniguchi (2022),30 - Smith et Barrett (2010),31 - Crouch et al. (2021),"32 - Mulera et al., (2017)",33 - Kouakou et Yeo (2025),"34 - Armand et al., (2024)",35 - Sanfo (2023),36 - Mugendawala et Muijs (2020),37 - Oduol (2006),"38 - Lee et al., (2005)","39 - Kanyongo, et al., (2006)",40 - Nguemkap et Dieng (2022),41 - Medu et Rowlands (2022),"42 - Lee et al., (2021)",43 - Lassibille et Tan (2003),44 - Nguemkap (2023),45 - Kadio (2025),"46 - Ongo et al., (2022)",47 - Kadio (2022),48 - Bekkouche et Dupraz (2023),49 - Michelowa (2001),50 - Taniguchi (2024),"51 - Miningou et al., (2019)","52 - Avom et al., (2021)",53 - Figueiredo et Dieng (2016),54 - Kouamo (2024),"55 - Ishii et Ogawa, (2024)",56 - Servaas van der Berg (2008),57 - Wamala et Seruwagi (2012),"58 - Lee et al., (2018)",59 - Venkat et Spaull (2015),60 - Armstrong (2015),"61 - Conto et al., (2023)",62 - Sanfo (2020),63 - Foueka et Elomo (2022),64 - Kanyongo et Brown (2013),"65 - Bietenbeck et al., (2023)",66 - Bonnet (2009),"67 - Lauchande et al., (2017)",68 - Nafiou (2010),69 - Chudgar (2015),"70 - Dickerson et al., (2015)",71 - Kyei (2021),72 - Miningou (2022),73 - Zuze et Reddy (2014),74 - Barnett (2013),75 - Hossain et Bertta (2025),76 - Zhang (2006),77 - Sumida et Kawata (2021),78 - Burger (2011),79 - Foueka (2020),80 - Kanyongo et Ayieko (2017),81 - Spaull (2013),"82 - Rew et al., (2022)"
01 - Sanfo (2021),100.0,33.47,24.02,30.05,24.98,14.15,14.26,26.11,21.88,25.7,14.16,18.88,12.6,17.61,14.01,13.32,13.2,12.07,12.98,14.68,12.42,23.68,14.45,14.32,14.17,12.45,12.67,24.83,16.56,24.55,12.85,24.34,13.94,14.95,15.75,18.14,19.07,21.81,16.75,24.68,13.14,13.32,12.59,12.77,17.34,24.65,24.83,13.06,24.7,19.12,4.21,3.39,1.66,2.9,3.68,13.38,4.7,2.24,3.04,6.98,6.27,23.4,13.86,4.33,4.6,2.9,6.1,2.03,2.33,3.97,4.54,3.72,14.18,14.9,3.77,3.37,2.61,2.32,4.95,3.23,2.96,1.77
02 - Garrouste (2011),33.47,100.0,23.79,29.92,25.2,13.16,13.22,23.27,21.32,21.9,15.12,18.01,13.22,18.21,13.7,14.9,13.52,13.01,12.75,15.04,13.07,20.79,14.06,15.0,13.9,12.37,13.49,21.55,16.89,21.88,12.68,21.41,13.22,14.54,13.1,13.86,20.11,24.21,16.91,23.97,15.66,13.34,13.49,14.88,16.04,23.29,22.0,13.87,20.36,20.75,3.52,1.8,2.82,2.54,2.93,11.99,6.27,3.53,4.19,10.08,5.4,10.95,11.91,10.22,4.7,3.45,7.4,2.43,4.21,3.43,4.21,4.31,10.35,9.65,2.27,1.83,2.14,2.9,4.4,3.4,2.56,1.75
03 - Lee et Rudolf (2022),24.02,23.79,100.0,26.99,27.81,15.37,15.6,13.07,15.56,15.24,12.38,12.32,12.13,12.47,17.77,13.08,14.75,16.44,15.64,14.61,17.42,15.49,12.34,12.78,19.17,15.33,14.97,12.74,17.54,14.75,16.12,12.22,14.82,12.05,15.82,12.27,13.85,18.6,12.58,12.38,13.26,18.07,11.96,17.11,16.39,17.11,16.04,12.02,15.87,15.48,4.65,5.1,5.19,5.77,2.99,2.18,1.87,10.05,1.72,5.64,6.49,1.67,4.47,2.69,6.17,6.77,1.91,1.29,5.07,4.73,5.4,4.9,2.05,2.15,7.12,5.99,3.96,0.73,5.01,1.78,1.4,4.02
04 - Salah et Saxena (2025),30.05,29.92,26.99,100.0,29.72,17.91,17.32,18.55,21.24,21.08,14.11,16.43,13.78,19.62,19.59,13.8,17.56,15.8,15.71,18.32,15.93,19.49,14.53,18.9,19.15,17.98,16.83,18.96,26.07,21.0,15.98,17.75,19.01,13.89,16.47,14.22,16.93,21.81,21.46,19.19,14.38,17.71,12.24,17.07,22.79,21.96,25.53,12.87,19.88,26.53,7.97,8.93,5.21,7.99,7.11,7.38,8.76,6.38,3.3,8.75,13.75,6.85,11.17,4.08,7.4,5.84,5.65,3.15,8.2,7.38,12.87,10.23,7.53,6.98,11.85,6.92,7.47,2.55,12.22,4.52,2.37,7.56
"05 - Sanfo et al., (2024)",24.98,25.2,27.81,29.72,100.0,16.21,17.48,13.5,16.73,16.42,12.56,14.21,12.96,13.28,16.25,13.17,15.89,15.14,15.78,16.15,18.04,17.42,15.24,17.57,22.17,16.8,16.38,13.63,18.7,18.88,17.46,13.12,16.27,12.97,18.8,13.97,14.52,19.44,16.38,14.34,13.59,17.84,12.46,18.69,17.17,18.87,17.25,13.66,16.54,16.51,6.68,4.8,5.24,8.07,5.2,1.75,5.16,6.53,1.56,5.58,9.29,2.65,5.49,1.8,6.61,6.3,1.9,1.28,8.09,6.69,7.18,5.82,2.84,2.11,10.2,8.27,6.47,2.49,10.37,1.95,2.86,6.91
"06 - Kuecken et al., (2013)",14.15,13.16,15.37,17.91,16.21,100.0,33.44,25.68,30.0,15.47,11.96,13.71,12.65,12.91,17.75,11.97,17.56,18.75,15.79,16.75,14.66,15.5,12.29,16.21,17.38,15.22,15.7,12.96,16.99,16.68,15.1,13.29,15.07,14.76,15.08,12.48,13.13,15.24,13.29,13.01,12.48,15.17,13.98,15.37,15.59,15.53,18.24,12.5,17.95,16.61,5.74,4.45,4.93,5.16,3.15,2.35,1.3,7.14,2.98,5.13,4.67,1.87,5.13,3.31,4.35,5.5,1.81,2.33,5.72,8.33,5.06,5.85,1.88,1.52,6.65,5.32,6.04,2.03,5.74,4.3,4.46,4.92
07 - Frölich et Michaelowa (2011),14.26,13.22,15.6,17.32,17.48,33.44,100.0,26.19,28.89,18.0,13.17,13.79,13.21,12.77,16.56,12.6,14.76,16.35,14.81,16.4,15.42,15.31,13.33,14.8,16.19,15.3,15.26,12.87,18.35,16.15,16.24,12.65,16.12,21.58,16.77,12.23,13.36,15.61,13.73,12.09,13.09,15.85,12.63,17.22,17.32,15.47,16.46,13.48,17.52,16.33,4.84,5.68,4.48,5.27,3.49,1.96,1.63,4.44,2.42,6.08,5.61,2.49,5.33,3.14,4.66,6.0,3.1,1.71,7.32,6.35,5.18,5.81,2.35,2.05,5.3,6.48,5.03,1.54,5.48,2.18,2.63,4.58
08 - Zuze et Leibbrandt (2010),26.11,23.27,13.07,18.55,13.5,25.68,26.19,100.0,32.38,24.34,13.7,17.67,12.9,17.52,17.12,14.66,12.56,14.51,12.56,14.27,12.83,23.0,14.74,13.61,14.8,12.23,12.47,25.31,16.41,24.91,13.17,25.11,13.68,15.6,12.85,17.82,17.6,21.82,15.36,23.25,13.14,14.63,12.62,13.3,15.52,23.6,25.2,13.26,21.71,19.82,3.67,2.96,1.86,1.92,3.53,16.06,11.71,2.55,2.78,7.24,4.58,14.51,14.03,4.11,4.44,3.1,7.02,3.26,4.69,4.91,3.71,3.71,13.11,13.32,3.49,3.76,3.8,3.3,3.86,3.55,2.87,2.82
"09 - Fehrler et al., (2009)",21.88,21.32,15.56,21.24,16.73,30.0,28.89,32.38,100.0,23.26,14.65,17.8,15.74,16.87,16.19,14.73,16.34,16.09,15.69,17.02,16.07,20.86,12.4,14.29,17.08,16.63,15.78,18.11,20.81,22.16,15.81,19.54,21.16,16.27,15.58,13.7,17.53,23.5,16.35,19.1,13.35,16.95,12.34,15.65,19.2,22.94,23.43,13.62,21.75,21.37,7.36,6.11,5.53,7.51,2.49,9.25,4.64,6.54,3.39,10.16,7.42,9.77,12.78,5.03,7.69,6.72,6.05,2.58,6.74,7.01,6.38,7.51,8.52,7.61,6.08,6.02,5.54,2.24,7.07,2.85,2.3,4.59
"10 - Kadio et al., (2022)",25.7,21.9,15.24,21.08,16.42,15.47,18.0,24.34,23.26,100.0,24.36,33.84,24.29,28.26,26.86,25.68,16.48,15.03,15.62,17.8,15.85,27.62,13.28,12.82,17.36,15.87,15.88,23.66,20.21,27.93,17.15,23.78,15.85,14.98,17.53,14.19,17.49,24.59,15.52,24.05,12.83,15.53,14.4,18.52,20.09,27.61,34.46,13.68,25.22,21.4,6.69,5.63,6.29,4.75,3.49,14.85,4.97,5.28,2.34,9.4,7.35,13.92,16.79,2.23,6.57,5.88,6.59,2.1,6.98,6.39,6.9,6.16,14.68,12.63,6.43,6.17,5.37,2.09,7.14,3.0,2.38,5.98
