ligne_etude_1,tableau_source_1,ligne_tableau_1,auteur_1,pays_1,theme_1,sous_theme_1,ligne_etude_2,tableau_source_2,ligne_tableau_2,auteur_2,pays_2,theme_2,sous_theme_2,score_global_0_1,score_global_0_100,percentile_corpus,sim_text_word,sim_text_char,sim_method,sim_theme,sim_subtheme,sim_country,mots_cles_communs,interpretation
40,1,45,Nguemkap et Dieng (2022),Cameroun,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,46,1,51,"Ongo et al., (2022)","ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.524262,52.43,100.0,0.301212,0.520241,1.0,1.0,1.0,0.0,"mathematiques, lecture, scolaires, specifiques, niveau, famille","similarite forte dans ce corpus; facteurs dominants: meme sous-theme, methodologie tres proche, vocabulaire/resultats tres proches."
77,4,9,Sumida et Kawata (2021),"ASS, 15 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,78,4,10,Burger (2011),Zambie,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,0.487705,48.77,99.97,0.240835,0.480543,1.0,1.0,1.0,0.0,"zones, rurales, differences, ressources, ecart, socio-economiques","similarite assez forte; facteurs dominants: meme sous-theme, methodologie tres proche, vocabulaire/resultats tres proches."
72,4,4,Miningou (2022),ASS 10 pays,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,77,4,9,Sumida et Kawata (2021),"ASS, 15 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,0.452117,45.21,99.94,0.144343,0.361987,1.0,1.0,1.0,0.6,"ecart, apprentissage, socio-economiques, participation, inegalites, facteurs","similarite assez forte; facteurs dominants: meme sous-theme, methodologie tres proche, contexte geographique proche, vocabulaire/resultats proches."
29,1,34,Taniguchi (2022),"ASS, 15 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,50,1,55,Taniguchi (2024),"ASS, 15 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.450742,45.07,99.91,0.209312,0.450509,0.333333,1.0,1.0,1.0,"enfants, ressources, meilleurs, defavorises, ceux, apprentissage","similarite assez forte; facteurs dominants: meme sous-theme, methodologie partiellement proche, meme contexte geographique, vocabulaire/resultats proches."
11,1,14,"Kazima et al., (2022)",Malawi,"Contextes spécifiques : conflits, mines, multilinguisme",Politiques éducatives et réformes,16,1,19,Kazima (2014),"Botswana, Malawi et Zambie","Contextes spécifiques : conflits, mines, multilinguisme",Politiques éducatives et réformes,0.42906,42.91,99.88,0.132169,0.335884,1.0,1.0,1.0,0.333333,"mathematiques, enseignement, reformes, enseignants, malawi, ameliorer","similarite assez forte; facteurs dominants: meme sous-theme, methodologie tres proche, vocabulaire/resultats proches."
72,4,4,Miningou (2022),ASS 10 pays,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,78,4,10,Burger (2011),Zambie,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,0.420495,42.05,99.85,0.145427,0.345172,1.0,1.0,1.0,0.0,"ecart, ressources, socio-economiques, participation, inegalites, facteurs","similarite assez forte; facteurs dominants: meme sous-theme, methodologie tres proche, vocabulaire/resultats proches."
46,1,51,"Ongo et al., (2022)","ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,47,1,52,Kadio (2022),"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.40803,40.8,99.82,0.073964,0.304374,1.0,1.0,1.0,0.6,"scolaires, inegalites, specifiques, sein, differences, determinants","similarite assez forte; facteurs dominants: meme sous-theme, methodologie tres proche, contexte geographique proche."
30,1,35,Smith et Barrett (2010),"ASS, 6 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,47,1,52,Kadio (2022),"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.405919,40.59,99.79,0.065661,0.32135,1.0,1.0,1.0,0.6,"apprentissage, ressources, inegalites, specifiques, politiques, determinants","similarite assez forte; facteurs dominants: meme sous-theme, methodologie tres proche, contexte geographique proche."
17,1,21,Mioko et Cappelle (2015),"ASS, 11 pays","Contextes spécifiques : conflits, mines, multilinguisme",Mesure de la qualité de l’éducation et analyse comparative,19,1,23,Murimba (2005),"ASS, 15 pays","Contextes spécifiques : conflits, mines, multilinguisme",Mesure de la qualité de l’éducation et analyse comparative,0.404583,40.46,99.76,0.079616,0.255254,1.0,1.0,1.0,0.6,"recherche, politiques, statistique, specifiques, multilinguisme, mines","similarite assez forte; facteurs dominants: meme sous-theme, methodologie tres proche, contexte geographique proche."
76,4,8,Zhang (2006),"ASS, 14 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,77,4,9,Sumida et Kawata (2021),"ASS, 15 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,0.398031,39.8,99.73,0.209903,0.452932,0.0,1.0,1.0,0.6,"rurales, zones, apprentissage, facteurs, differences, urbaines","similarite moderee; facteurs dominants: meme sous-theme, contexte geographique proche, vocabulaire/resultats proches."
