auteur_1,annee_1,theme_1,auteur_2,annee_2,theme_2,sim_resultats,sim_resultats_pct
Nguemkap et Dieng (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme","Ongo et al., (2022)",2022,"Contextes spécifiques : conflits, mines, multilinguisme",0.293528,29.35
Armstrong (2015),2015,Principaux résultats et recommandations de politique éducative,Kanyongo et Brown (2013),2013,Principaux résultats et recommandations de politique éducative,0.242399,24.24
Taniguchi (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",Taniguchi (2024),2024,"Contextes spécifiques : conflits, mines, multilinguisme",0.185681,18.57
Sumida et Kawata (2021),2021,Facteurs socio-économiques et inégalités et participation communautaire,Burger (2011),2011,Facteurs socio-économiques et inégalités et participation communautaire,0.14856,14.86
"Kadio et al., (2022)",2022,"Contextes spécifiques : conflits, mines, multilinguisme",Kadio (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",0.135378,13.54
Zhang (2006),2006,Facteurs socio-économiques et inégalités et participation communautaire,Sumida et Kawata (2021),2021,Facteurs socio-économiques et inégalités et participation communautaire,0.132705,13.27
Zhang (2006),2006,Facteurs socio-économiques et inégalités et participation communautaire,Burger (2011),2011,Facteurs socio-économiques et inégalités et participation communautaire,0.122928,12.29
Bennell (2023),2023,"Contextes spécifiques : conflits, mines, multilinguisme","Lauchande et al., (2017)",2017,Principaux résultats et recommandations de politique éducative,0.108896,10.89
Yu et Thomas (2008),2008,"Contextes spécifiques : conflits, mines, multilinguisme",Kadio (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",0.103883,10.39
"Kuecken et al., (2013)",2013,"Contextes spécifiques : conflits, mines, multilinguisme",Frölich et Michaelowa (2011),2011,"Contextes spécifiques : conflits, mines, multilinguisme",0.103832,10.38
Yu et Thomas (2008),2008,"Contextes spécifiques : conflits, mines, multilinguisme","Kanyongo, et al., (2006)",2006,"Contextes spécifiques : conflits, mines, multilinguisme",0.101487,10.15
Dieng et Sy (2020),2020,"Contextes spécifiques : conflits, mines, multilinguisme",Figueiredo et Dieng (2016),2016,Efficience et efficacité des systèmes éducatifs,0.098831,9.88
Venkat et Spaull (2015),2015,Principaux résultats et recommandations de politique éducative,Kanyongo et Brown (2013),2013,Principaux résultats et recommandations de politique éducative,0.096572,9.66
Atuhurra (2016),2016,"Contextes spécifiques : conflits, mines, multilinguisme",Hungi et Thuku (2009),2009,"Contextes spécifiques : conflits, mines, multilinguisme",0.094356,9.44
"Kanyongo, et al., (2006)",2006,"Contextes spécifiques : conflits, mines, multilinguisme",Kanyongo et Ayieko (2017),2017,Facteurs socio-économiques et inégalités et participation communautaire,0.089324,8.93
Miningou (2022),2022,Facteurs socio-économiques et inégalités et participation communautaire,Hossain et Bertta (2025),2025,Facteurs socio-économiques et inégalités et participation communautaire,0.085292,8.53
Mafang et al. (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme","Ongo et al., (2022)",2022,"Contextes spécifiques : conflits, mines, multilinguisme",0.084702,8.47
